0 0
200		12.333333333	
400		32.666666667	
600		58.000000000	
800		86.666666667	
1000		117.666666667	
1200		151.666666667	
1400		187.333333333	
1600		223.666666667	
1800		262.000000000	
2000		302.000000000	
2200		342.333333333	
2400		381.000000000	
2600		422.333333333	
2800		463.333333333	
3000		509.666666667	
3200		555.666666667	
3400		593.666666667	
3600		639.000000000	
3800		680.333333333	
4000		727.000000000	
4200		776.666666667	
4400		817.000000000	
4600		867.000000000	
4800		921.666666667	
5000		956.000000000	
5200		1001.333333333	
5400		1057.333333333	
5600		1101.666666667	
5800		1144.666666667	
6000		1198.666666667	
6200		1237.000000000	
6400		1295.666666667	
6600		1331.000000000	
6800		1385.000000000	
7000		1441.000000000	
7200		1477.666666667	
7400		1533.666666667	
7600		1573.000000000	
7800		1647.666666667	
8000		1673.333333333	
8200		1719.666666667	
8400		1773.333333333	
8600		1822.333333333	
8800		1889.666666667	
9000		1954.000000000	
9200		1979.333333333	
9400		2033.000000000	
9600		2092.000000000	
9800		2121.333333333	
10000		2179.666666667
