iterations;sequential;sequential_active;parallel;parallel_active;speedup;speedup_active
200;44;11;3;2;14.66666667;5.5
400;89;26;4;3;22.25;8.666666667
600;136;47;5;4;27.2;11.75
800;185;69;6;5;30.83333333;13.8
1000;233;95;8;5;29.125;19
1200;284;122;9;6;31.55555556;20.33333333
1400;334;149;10;8;33.4;18.625
1600;383;181;12;8;31.91666667;22.625
1800;435;211;13;9;33.46153846;23.44444444
2000;486;243;14;10;34.71428571;24.3
2200;538;275;15;11;35.86666667;25
2400;618;309;17;11;36.35294118;28.09090909
2600;646;350;18;13;35.88888889;26.92307692
2800;698;385;19;14;36.73684211;27.5
3000;754;419;20;15;37.7;27.93333333
3200;821;456;22;16;37.31818182;28.5
3400;878;495;24;16;36.58333333;30.9375
3600;915;538;25;17;36.6;31.64705882
3800;970;585;26;19;37.30769231;30.78947368
4000;1031;613;27;20;38.18518519;30.65
4200;1086;656;29;21;37.44827586;31.23809524
4400;1142;696;31;21;36.83870968;33.14285714
4600;1196;741;31;23;38.58064516;32.2173913
4800;1319;782;32;24;41.21875;32.58333333
5000;1309;821;34;24;38.5;34.20833333
5200;1368;867;36;25;38;34.68
5400;1422;945;37;26;38.43243243;36.34615385
5600;1513;954;38;28;39.81578947;34.07142857
5800;1535;1002;40;29;38.375;34.55172414
6000;1595;1037;41;30;38.90243902;34.56666667
6200;1649;1101;42;31;39.26190476;35.51612903
6400;1709;1130;44;32;38.84090909;35.3125
6600;1795;1175;45;33;39.88888889;35.60606061
6800;1848;1222;46;34;40.17391304;35.94117647
7000;1894;1272;47;35;40.29787234;36.34285714
7200;1948;1337;49;36;39.75510204;37.13888889
7400;2001;1366;50;37;40.02;36.91891892
7600;2074;1409;52;38;39.88461538;37.07894737
7800;2216;1478;54;39;41.03703704;37.8974359
8000;2181;1505;54;40;40.38888889;37.625
8200;2248;1553;56;41;40.14285714;37.87804878
8400;2298;1600;57;42;40.31578947;38.0952381
8600;2361;1651;59;43;40.01694915;38.39534884
8800;2414;1695;60;44;40.23333333;38.52272727
9000;2475;1754;62;45;39.91935484;38.97777778
9200;2573;1803;63;46;40.84126984;39.19565217
9400;2603;1848;64;47;40.671875;39.31914894
9600;2777;1898;66;48;42.07575758;39.54166667
9800;2718;2038;67;50;40.56716418;40.76
10000;2790;2005;68;51;41.02941176;39.31372549
