iterations;sequential;sequential_active;parallel;parallel_active;speedup;speedup_active
200;44;11;5;5;8.8;2.2
400;89;26;7;5;12.71428571;5.2
600;136;47;9;6;15.11111111;7.833333333
800;185;69;10;6;18.5;11.5
1000;233;95;12;8;19.41666667;11.875
1200;284;122;14;8;20.28571429;15.25
1400;334;149;15;10;22.26666667;14.9
1600;383;181;17;10;22.52941176;18.1
1800;435;211;18;11;24.16666667;19.18181818
2000;486;243;20;12;24.3;20.25
2200;538;275;21;13;25.61904762;21.15384615
2400;618;309;23;14;26.86956522;22.07142857
2600;646;350;24;15;26.91666667;23.33333333
2800;698;385;27;16;25.85185185;24.0625
3000;754;419;28;17;26.92857143;24.64705882
3200;821;456;30;18;27.36666667;25.33333333
3400;878;495;32;19;27.4375;26.05263158
3600;915;538;33;20;27.72727273;26.9
3800;970;585;34;21;28.52941176;27.85714286
4000;1031;613;36;22;28.63888889;27.86363636
4200;1086;656;37;23;29.35135135;28.52173913
4400;1142;696;40;24;28.55;29
4600;1196;741;41;25;29.17073171;29.64
4800;1319;782;43;26;30.6744186;30.07692308
5000;1309;821;45;28;29.08888889;29.32142857
5200;1368;867;46;29;29.73913043;29.89655172
5400;1422;945;48;29;29.625;32.5862069
5600;1513;954;49;30;30.87755102;31.8
5800;1535;1002;52;32;29.51923077;31.3125
6000;1595;1037;53;33;30.09433962;31.42424242
6200;1649;1101;55;34;29.98181818;32.38235294
6400;1709;1130;56;36;30.51785714;31.38888889
6600;1795;1175;58;37;30.94827586;31.75675676
6800;1848;1222;60;38;30.8;32.15789474
7000;1894;1272;61;39;31.04918033;32.61538462
7200;1948;1337;63;40;30.92063492;33.425
7400;2001;1366;65;41;30.78461538;33.31707317
7600;2074;1409;67;42;30.95522388;33.54761905
7800;2216;1478;68;44;32.58823529;33.59090909
8000;2181;1505;70;44;31.15714286;34.20454545
8200;2248;1553;72;45;31.22222222;34.51111111
8400;2298;1600;74;47;31.05405405;34.04255319
8600;2361;1651;75;48;31.48;34.39583333
8800;2414;1695;77;50;31.35064935;33.9
9000;2475;1754;79;51;31.32911392;34.39215686
9200;2573;1803;81;52;31.7654321;34.67307692
9400;2603;1848;82;53;31.74390244;34.86792453
9600;2777;1898;83;54;33.45783133;35.14814815
9800;2718;2038;85;56;31.97647059;36.39285714
10000;2790;2005;87;57;32.06896552;35.1754386
